id,title,budget,revenue,runtime,vote_count,vote_average,release_year,genre_encoded,lang_encoded,overview_len,overview_sentiment
1084242,Zootopia 2,150000000,1744338246,108,1292,7.608,2025,2,1,367,0.2202020202020202
1306368,The Rip,100000000,0,113,862,7.053,2026,0,1,146,0.0
1043197,Dust Bunny,0,928164,106,129,6.56,2025,0,1,212,0.2
1326878,Strangers,0,0,106,24,5.5,2024,0,1,299,-0.1
1419406,The Shadow's Edge,0,174400000,142,350,7.213,2025,0,15,129,-0.25
1242898,Predator: Badlands,105000000,184561056,107,1702,7.753,2025,0,1,158,-0.13333333333333333
83533,Avatar: Fire and Ash,350000000,1378692505,198,1639,7.302,2025,11,1,361,-0.38051948051948054
991494,The SpongeBob Movie: Search for SquarePants,64000000,153600000,88,138,6.6,2025,2,1,268,-0.12
1234731,Anaconda,45000000,128328016,100,217,5.903,2025,1,1,248,-0.040000000000000015
1368166,The Housemaid,35000000,305000000,131,551,7.111,2025,9,1,260,0.18333333333333332
1242501,Icefall,0,0,99,105,6.471,2025,0,1,379,-0.2333333333333333
1412598,Killer Whale,0,0,89,44,5.693,2026,12,1,132,0.025000000000000022
755898,War of the Worlds,10000000,0,91,867,4.213,2025,11,1,271,0.13333333333333333
1252037,The Tank,0,0,117,287,7.0,2025,13,0,405,-0.08571428571428574
1233413,Sinners,90000000,368389632,138,3425,7.5,2025,8,1,175,-0.0857142857142857
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,20000000,724279886,156,684,7.675,2025,2,7,204,-0.48
1608982,From the Ashes: The Pit,0,0,88,15,3.8,2026,12,-1,150,-0.1
1443762,The Big Fake,0,0,110,75,6.513,2026,12,6,241,0.45
840464,Greenland 2: Migration,90000000,11416907,98,137,6.664,2026,1,1,218,0.13636363636363635
1317288,Marty Supreme,65000000,116300000,150,342,7.87,2025,5,1,102,0.05
1131759,Omniscient Reader: The Prophecy,0,9187679,117,52,6.4,2025,0,9,398,0.06948051948051948
425274,Now You See Me: Now You Don't,90000000,239845830,113,970,6.55,2025,12,1,310,0.17471590909090906
1511417,Bāhubali: The Epic,65000000,3500000,224,26,6.1,2025,0,12,394,-0.00833333333333334
628847,Trap House,0,0,102,188,6.63,2025,0,1,266,0.07499999999999998
1236153,Mercy,60000000,22700000,100,72,6.9,2026,11,1,199,0.16666666666666666
1054867,One Battle After Another,175000000,206311045,162,2614,7.421,2025,12,1,309,-0.19
7451,xXx,70000000,277448382,124,4759,6.0,2002,0,1,305,-0.26666666666666666
1491902,Bang,0,0,0,60,6.6,2025,0,13,172,-0.25
1272837,28 Years Later: The Bone Temple,63000000,46200000,109,260,7.2,2026,8,1,199,-0.4318181818181818
24428,The Avengers,220000000,1518815515,143,35461,7.922,2012,11,1,297,0.025
982843,The Great Flood,0,0,107,533,5.992,2025,11,9,147,0.03333333333333333
1228246,Five Nights at Freddy's 2,36000000,236746717,104,671,6.7,2025,8,1,443,-0.06666666666666668
1167307,David,60900000,77770275,109,32,8.063,2025,2,1,431,0.06666666666666667
680493,Return to Silent Hill,23000000,19300000,106,55,5.3,2026,8,1,272,-0.125
1137179,Yadang: The Snitch,9500000,24508523,123,34,6.9,2025,4,9,405,-0.008333333333333337
1439112,Muzzle: City of Wolves,0,0,93,101,6.752,2025,0,1,320,0.05284090909090908
803796,KPop Demon Hunters,100000000,24690793,96,2290,8.11,2025,7,1,153,-0.11666666666666668
1147411,"Miraculous World: Tokyo, Stellar Force",0,0,51,8,9.0,2025,1,4,169,0.13636363636363635
1575337,Cosmic Princess Kaguya!,0,0,141,16,8.4,2026,2,7,153,0.0
1206008,Ella McCay,35000000,4546837,115,31,5.387,2025,3,1,175,0.3
533533,TRON: Ares,220000000,142249983,119,1103,6.518,2025,11,1,171,0.06999999999999999
1198994,Send Help,40000000,10821,113,18,7.2,2026,8,1,239,-0.0375
1196067,Worldbreaker,0,0,95,64,6.266,2025,11,1,305,0.3333333333333333
1062722,Frankenstein,120000000,480678,150,2762,7.692,2025,5,1,197,0.05000000000000001
1234821,Jurassic World Rebirth,180000000,869146189,134,2897,6.329,2025,11,1,482,-0.038095238095238106
798645,The Running Man,110000000,68615641,133,1074,6.796,2025,0,1,429,-0.18311688311688312
1247002,The Old Woman with the Knife,0,0,123,53,6.368,2025,0,9,388,-0.1416666666666667
1223601,Sisu: Road to Revenge,12200000,9724644,89,502,7.413,2025,0,3,342,-0.14375
1539104,JUJUTSU KAISEN: Execution,0,44559195,88,78,5.6,2025,2,7,782,0.04571428571428571
858024,Hamnet,35000000,42580530,126,156,7.833,2025,5,1,109,0.4
1315303,Primate,21000000,30502877,89,63,6.635,2026,8,1,292,0.0
76600,Avatar: The Way of Water,350000000,2353096253,192,13603,7.601,2022,0,1,272,0.17083333333333336
1195518,The Unholy Trinity,0,1000526,95,148,6.432,2025,14,1,480,-0.10606060606060605
1033462,Bureau 749,0,51706251,123,80,6.231,2024,0,15,234,-0.06000000000000001
19995,Avatar,237000000,2923706026,162,33341,7.6,2009,0,1,175,0.041666666666666664
1255674,Crazy Old Lady,0,0,91,19,5.7,2025,8,2,226,-0.5333333333333333
1301122,Nazi Supersoldier,0,0,78,23,5.435,2024,8,1,253,-0.1
911430,F1,250000000,631627111,156,3179,7.795,2025,0,1,163,0.3
575265,Mission: Impossible - The Final Reckoning,400000000,598767057,170,2472,7.19,2025,0,1,404,-0.09486531986531992
1220564,The Secret Agent,5000000,6471965,161,228,7.7,2025,4,11,216,0.3
1387382,Hunting Season,0,0,93,123,7.118,2025,0,1,212,-0.36875
1336189,Delivery Run,0,0,84,35,5.729,2025,0,1,230,-0.17500000000000002
359255,The Inhabitants,0,0,90,42,3.821,2015,12,1,185,0.03579545454545453
1208348,Rental Family,0,10706787,110,272,7.816,2025,3,1,300,0.15000000000000002
639988,No Other Choice,12200000,30098000,139,541,7.707,2025,4,9,156,-0.5333333333333333
157336,Interstellar,165000000,746606706,169,38721,8.466,2014,1,1,198,0.04545454545454545
701387,Bugonia,50000000,40796580,119,1264,7.384,2025,11,1,147,-0.15750000000000003
1218925,Chainsaw Man - The Movie: Reze Arc,4100000,174502910,99,648,8.321,2025,2,7,217,-0.19374999999999998
269149,Zootopia,150000000,1025521689,109,17573,7.758,2016,2,1,220,0.25
1266990,Kulong,0,0,48,9,6.778,2024,5,14,236,0.26666666666666666
144613,Beau Brummel,343000,495000,127,13,6.8,1924,5,1,260,0.08
30784,The Criminal,0,0,97,40,6.3,1960,4,1,195,-0.43333333333333335
1061474,Superman,225000000,616823803,130,4228,7.378,2025,11,1,136,0.0
980477,Ne Zha 2,80000000,2259822417,144,567,8.121,2025,2,15,340,0.0
11215,Baby Boom,15000000,26712476,110,394,6.391,1987,5,1,733,0.15538720538720535
1246049,Dracula,52000000,28623298,130,772,7.2,2025,8,4,259,-0.19047619047619047
1448560,Wildcat,50000,0,99,78,5.968,2025,0,1,127,-0.6
1034716,People We Meet on Vacation,1000000,0,116,359,7.039,2026,10,1,150,0.4666666666666666
1010581,My Fault,0,0,117,3981,7.76,2023,5,2,386,0.2132996632996633
1013446,Reflection in a Dead Diamond,0,0,87,59,6.136,2025,0,4,242,-0.08333333333333333
617126,The Fantastic 4: First Steps,200000000,521858728,115,2907,6.982,2025,11,1,283,0.05416666666666665
1512623,Risqué,0,0,91,53,7.368,2025,0,1,162,-0.3277777777777778
1100988,28 Years Later,60000000,151308832,115,2131,6.616,2025,8,1,249,0.1
1083637,Kantara - A Legend: Chapter 1,14000000,91000000,165,58,7.017,2025,0,8,458,-0.21875
1366745,Papá x dos,0,0,104,10,4.2,2025,6,2,293,0.2833333333333333
1238188,The Captive,10720500,0,134,35,6.929,2025,5,2,258,-0.1225
1087192,How to Train Your Dragon,150000000,636351148,125,2530,7.952,2025,7,1,312,0.09
1359607,Miss Kobayashi's Dragon Maid: A lonely dragon wants to be loved,0,1067775,105,9,7.556,2025,2,7,593,-0.13333333333333333
13483,Awake,86000000,14373825,84,1449,6.546,2007,12,1,285,0.10999999999999999
772462,Don't Follow Me,0,1015383,83,38,6.474,2025,8,2,357,-0.049999999999999996
812583,Wake Up Dead Man: A Knives Out Mystery,210000000,4000000,145,1919,7.219,2025,12,1,377,0.004761904761904761
1313003,Close To Me,5000000,490149,103,47,5.681,2025,10,6,292,-0.1212121212121212
79871,Crazy Love,0,1575158,77,41,6.3,1993,3,-1,282,0.31875000000000003
